ds,y
5/12/2018,254
5/13/2018,296
5/14/2018,532
5/15/2018,527
5/16/2018,529
5/17/2018,526
5/18/2018,448
5/19/2018,290
5/20/2018,419
5/21/2018,515
5/22/2018,508
5/23/2018,523
5/24/2018,477
5/25/2018,428
5/26/2018,305
5/27/2018,281
5/28/2018,452
5/29/2018,449
5/30/2018,449
5/31/2018,424
6/1/2018,370
6/2/2018,280
6/3/2018,280
6/4/2018,1131
6/5/2018,1051
6/6/2018,1069
6/7/2018,899
6/8/2018,467
6/9/2018,339
6/10/2018,466
6/11/2018,440
6/12/2018,660
6/13/2018,730
6/14/2018,479
6/15/2018,390
6/16/2018,324
6/17/2018,475
6/18/2018,928
6/19/2018,1005
6/20/2018,1003
6/21/2018,875
6/22/2018,810
6/23/2018,393
6/24/2018,576
6/25/2018,980
6/26/2018,869
6/27/2018,818
6/28/2018,681
6/29/2018,460
6/30/2018,345
7/1/2018,498
7/2/2018,630
7/3/2018,634
7/4/2018,592
7/5/2018,543
7/6/2018,525
7/7/2018,281
7/8/2018,350
7/9/2018,540
7/10/2018,559
7/11/2018,671
7/12/2018,578
7/13/2018,408
7/14/2018,302
7/15/2018,359
7/16/2018,525
7/17/2018,544
7/18/2018,473
7/19/2018,547
7/20/2018,502
7/21/2018,286
7/22/2018,292
7/23/2018,441
7/24/2018,507
7/25/2018,490
7/26/2018,462
7/27/2018,361
7/28/2018,282
7/29/2018,319
7/30/2018,427
7/31/2018,429
8/1/2018,462
8/2/2018,476
8/3/2018,370
8/4/2018,261
8/5/2018,326
8/6/2018,548
8/7/2018,597
8/8/2018,617
8/9/2018,577
8/10/2018,475
8/11/2018,317
8/12/2018,399
8/13/2018,620
8/14/2018,773
8/15/2018,653
8/16/2018,612
8/17/2018,541
8/18/2018,326
8/19/2018,397
8/20/2018,534
8/21/2018,581
8/22/2018,713
8/23/2018,596
8/24/2018,508
8/25/2018,315
8/26/2018,321
8/27/2018,598
8/28/2018,731
8/29/2018,660
8/30/2018,631
8/31/2018,464
9/1/2018,378
9/2/2018,367
9/3/2018,473
9/4/2018,708
9/5/2018,690
9/6/2018,640
9/7/2018,519
9/8/2018,312
9/9/2018,386
9/10/2018,605
9/11/2018,533
9/12/2018,546
9/13/2018,457
9/14/2018,397
9/15/2018,340
9/16/2018,398
9/17/2018,517
9/18/2018,541
9/19/2018,550
9/20/2018,522
9/21/2018,455
9/22/2018,320
9/23/2018,416
9/24/2018,529
9/25/2018,588
9/26/2018,655
9/27/2018,606
9/28/2018,478
9/29/2018,346
9/30/2018,380
10/1/2018,468
10/2/2018,506
10/3/2018,563
10/4/2018,490
10/5/2018,384
10/6/2018,292
10/7/2018,346
10/8/2018,484
10/9/2018,612
10/10/2018,539
10/11/2018,575
10/12/2018,419
10/13/2018,348
10/14/2018,341
10/15/2018,458
10/16/2018,592
10/17/2018,497
10/18/2018,539
10/19/2018,422
10/20/2018,309
10/21/2018,267
10/22/2018,479
10/23/2018,533
10/24/2018,437
10/25/2018,507
10/26/2018,506
10/27/2018,291
10/28/2018,337
10/29/2018,482
10/30/2018,538
10/31/2018,498
11/1/2018,427
11/2/2018,387
11/3/2018,334
11/4/2018,361
11/5/2018,698
11/6/2018,638
11/7/2018,685
11/8/2018,579
11/9/2018,451
11/10/2018,289
11/11/2018,366
11/12/2018,652
11/13/2018,782
11/14/2018,685
11/15/2018,599
11/16/2018,413
11/17/2018,371
11/18/2018,406
11/19/2018,636
11/20/2018,571
11/21/2018,454
11/22/2018,465
11/23/2018,381
11/24/2018,291
11/25/2018,389
11/26/2018,599
11/27/2018,693
11/28/2018,633
11/29/2018,603
11/30/2018,441
12/1/2018,279
12/2/2018,359
12/3/2018,494
12/4/2018,568
12/5/2018,565
12/6/2018,583
12/7/2018,443
12/8/2018,286
12/9/2018,345
12/10/2018,467
12/11/2018,550
12/12/2018,546
12/13/2018,441
12/14/2018,364
12/15/2018,233
12/16/2018,247
12/17/2018,535
12/18/2018,384
12/19/2018,376
12/20/2018,448
12/21/2018,226
12/22/2018,178
12/23/2018,192
12/24/2018,172
12/25/2018,179
12/26/2018,213
